#	Datafile	created	in	R																																		
#cur_yr																																						
2019																																						
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																			
#	of	data	indexing	to	work																																	
1963																																						
#endyr																																						
2021																																						
#N_data_sets																																						
3																																						
#N_yrs_data_sets																																						
39																																						
12																																						
17																																						
#yrs_data																																						
#Fshry																																						
1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
#survey_1																																						
2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018																											
#survey_2																																						
1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006																						
#Age_st																																						
1																																						
#Age_end																																						
17																																						
#fishery																																						
0.011	0.0206	0.0257	0.0323	0.0354	0.0375	0.0401	0.045	0.0503	0.0557	0.0582	0.0571	0.0774	0.0615	0.093	0.073	0.073																						
0.0124	0.0203	0.0272	0.0339	0.0406	0.0419	0.046	0.0485	0.0542	0.0588	0.0684	0.0683	0.0648	0.1098	0.0745	0.0685	0.0685																						
0.0101	0.0188	0.0278	0.0351	0.0391	0.0433	0.0447	0.0503	0.0521	0.0595	0.0608	0.0674	0.0795	0.0725	0.0842	0.0685	0.09																						
0.012	0.0211	0.032	0.038	0.0439	0.0503	0.0522	0.0561	0.0629	0.0626	0.0695	0.0812	0.0924	0.1033	0.1063	0.0685	0.0923																						
0.0131	0.0222	0.0321	0.04	0.0445	0.051	0.0583	0.0605	0.0592	0.0631	0.0668	0.0818	0.0739	0.0722	0.115	0.064	0.0923																						
0.01	0.0204	0.03	0.0382	0.0421	0.0465	0.0519	0.0563	0.0576	0.0595	0.0635	0.0717	0.0755	0.0713	0.0804	0.0677	0.0945																						
0.0118	0.0183	0.0272	0.0349	0.0398	0.0446	0.0484	0.0504	0.0594	0.0577	0.0627	0.0634	0.0682	0.0814	0.0633	0.0714	0.0757																						
0.0101	0.022	0.0285	0.0348	0.0417	0.0463	0.0513	0.0569	0.0602	0.0611	0.0664	0.0672	0.0664	0.0741	0.09	0.1095	0.1265																						
0.0113	0.0205	0.0319	0.0369	0.0421	0.0479	0.0539	0.0611	0.062	0.0696	0.0716	0.0784	0.077	0.0835	0.0904	0.0815	0.1538																						
0.0124	0.0236	0.0333	0.0416	0.0465	0.0517	0.0556	0.0607	0.0672	0.0645	0.071	0.0757	0.0808	0.0817	0.1167	0.071	0.181																						
0.0098	0.0194	0.0322	0.0388	0.0452	0.0507	0.057	0.0601	0.0685	0.0715	0.0752	0.0934	0.085	0.0788	0.0944	0.0806	0.112																						
0.0122	0.0215	0.0276	0.0355	0.041	0.048	0.0525	0.055	0.0586	0.0638	0.0674	0.0706	0.0721	0.0797	0.0799	0.0902	0.108																						
